name,type,equipment,difficult
Seated_Lat_Pulldown,strength,11,beginner
Seated Leg Extension,strength,14,beginner
Seated Leg Press Exercise,strength,15,beginner
Seated Close-Grip Shoulder Press,strength,16,beginner
Seated Shoulder Press,strength,16,beginner
Seated Cable Row,strength,10,beginner
Standing Decline Cable Flyes,strength,19,beginner
Hip Adduction,strength,20,beginner
Hip Abduction,strength,20,beginner
Standing Incline Cable Flyes,strength,19,beginner
Tricep Extension,strength,17,beginner
Calf Raise,strength,1,beginner
Calf Raise on leg press,strength,15,beginner
Glute Press,strength,2,beginner
Lateral Shoulder Raise,strength,3,beginner
Lying Hamstrings Curl,strength,4,beginner
Seated Biceps Curl,strength,5,beginner
Seated Chest Press,strength,6,beginner
Seated Close-Grip Chest Press,strength,6,beginner
Seated Crunch,strength,8,beginner
Seated Incline Chest Press,strength,7,beginner
Decline Chest Press,strength,21,beginner
Seated Row,strength,9,beginner
Back Squat,strength,101,intermediate
Barbell Jammers,strength,101,expert
Barbell_Bent-over Row,strength,101,expert
Barbell_Biceps_Curl,strength,101,intermediate
Barbell_Calf Raises,strength,101,intermediate
Barbell_Bench Press,strength,101,intermediate
Barbell_Close-grip Bench Press,strength,101,intermediate
Barbell_Deadlift,strength,101,expert
Barbell_Forward Lunge_R,strength,101,intermediate
Barbell_Forward Lunge_L,strength,101,intermediate
Barbell_Front Squat,strength,101,expert
Barbell_Front Squat to Overhead Press,strength,101,expert
Barbell_Hang Clean,olympic_weightlifting,101,expert
Barbell_Hip Bridge,strength,101,intermediate
Barbell_Lying Triceps Extensions,strength,101,intermediate
Barbell_Power Clean,olympic_weightlifting,101,expert
Barbell_Push Jerk,olympic_weightlifting,101,expert
Barbell_Reverse Bicep Curl,strength,101,intermediate
Barbell_Reverse Lunge_R,strength,101,intermediate
Barbell_Reverse Lunge_L,strength,101,intermediate
Barbell_Romanian Deadlift,strength,101,intermediate
Barbell_Seated Shoulder Press,strength,101,intermediate
Barbell_Shrug,strength,101,intermediate
Barbell_Snatch,olympic_weightlifting,101,expert
Barbell_Standing Shoulder Press,strength,101,expert
Barbell_Incline Bench Press,strength,101,intermediate
Barbell Standing Military Press,strength,101,intermediate
Barbell_Hip Thrust,strength,101,intermediate
Barbell Preacher Curl,strength,101,beginner
Barbell Upright Row,strength,101,intermediate
Barbell_T Bar Row,strength,101,intermediate
Barbell Decline Bench Press,strength,101,intermediate
Barbell Bulgarian Split Squat_R,strength,101,expert
